Date,Close
4/25/2005,5.57
4/26/2005,5.45
4/27/2005,5.47
4/28/2005,5.47
4/29/2005,5.48
5/2/2005,5.54
5/3/2005,5.63
5/4/2005,5.69
5/5/2005,5.65
5/6/2005,5.68
5/9/2005,5.63
5/10/2005,5.67
5/11/2005,5.76
5/12/2005,5.7
5/13/2005,5.71
5/16/2005,5.75
5/17/2005,5.81
5/18/2005,5.96
5/19/2005,5.96
5/20/2005,6.02
5/23/2005,6.36
5/24/2005,6.38
5/25/2005,6.5
5/26/2005,6.46
5/27/2005,6.63
5/31/2005,6.91
6/1/2005,7.17
6/2/2005,7.17
6/3/2005,6.98
6/6/2005,7.25
6/7/2005,7.3
6/8/2005,6.96
6/9/2005,7.13
6/10/2005,7.04
6/13/2005,7.04
6/14/2005,6.93
6/15/2005,6.84
6/16/2005,6.91
6/17/2005,6.98
6/20/2005,7.14
6/21/2005,7.17
6/22/2005,7.21
6/23/2005,7.22
6/24/2005,7.4
6/27/2005,7.57
6/28/2005,7.52
6/29/2005,7.29
6/30/2005,7.33
7/1/2005,7.25
7/5/2005,7.37
7/6/2005,7.26
7/7/2005,7.36
7/8/2005,7.38
7/11/2005,7.31
7/12/2005,7.27
7/13/2005,7.44
7/14/2005,7.49
7/15/2005,7.5
7/18/2005,7.46
7/19/2005,7.72
7/20/2005,7.77
7/21/2005,7.82
7/22/2005,7.53
7/25/2005,7.37
7/26/2005,7.37
7/27/2005,7.4
7/28/2005,7.31
7/29/2005,7.17
8/1/2005,7.26
8/2/2005,7.45
8/3/2005,7.4
8/4/2005,7.42
8/5/2005,7.28
8/8/2005,7.25
8/9/2005,7.26
8/10/2005,7.12
8/11/2005,7.07
8/12/2005,7.22
8/15/2005,7.07
8/16/2005,7.11
8/17/2005,7.1
8/18/2005,6.97
8/19/2005,6.97
8/22/2005,6.82
8/23/2005,6.96
8/24/2005,7.04
8/25/2005,7.04
8/26/2005,7.06
8/29/2005,7.18
8/30/2005,7.15
8/31/2005,7.12
9/1/2005,7.13
9/2/2005,7.18
9/6/2005,7.15
9/7/2005,7.34
9/8/2005,7.36
9/9/2005,7.45
9/12/2005,7.71
9/13/2005,7.76
9/14/2005,7.55
9/15/2005,7.54
9/16/2005,7.48
9/19/2005,7.57
9/20/2005,7.67
9/21/2005,7.77
9/22/2005,7.76
9/23/2005,7.85
9/26/2005,7.83
9/27/2005,7.82
9/28/2005,7.62
9/29/2005,7.71
9/30/2005,7.88
10/3/2005,7.94
10/4/2005,7.75
10/5/2005,7.74
10/6/2005,7.79
10/7/2005,7.8
10/10/2005,7.74
10/11/2005,7.62
10/12/2005,7.5
10/13/2005,7.41
10/14/2005,7.38
10/17/2005,7.6
10/18/2005,7.55
10/19/2005,7.69
10/20/2005,7.55
10/21/2005,8.47
